,uv,temp,drain_piezo,humidity,maxdailygust,soilmoisture2,solarradiation
191,0.0,19.222222222222214,0.0,57.0,16.560149759999998,30.0,23.68
192,0.0,19.222222222222214,0.0,57.0,16.560149759999998,30.0,23.28
193,0.0,19.222222222222214,0.0,57.0,16.560149759999998,30.0,23.05
194,0.0,19.222222222222214,0.0,57.0,16.560149759999998,30.0,22.81
195,0.0,19.111111111111114,0.0,57.0,16.560149759999998,30.0,22.57
196,0.0,19.111111111111114,0.0,58.0,16.560149759999998,30.0,22.42
197,0.0,19.111111111111114,0.0,57.0,16.560149759999998,30.0,22.26
198,0.0,19.111111111111114,0.0,58.0,16.560149759999998,30.0,22.1
199,0.0,19.111111111111114,0.0,58.0,16.560149759999998,30.0,21.94
200,0.0,19.111111111111114,0.0,58.0,16.560149759999998,30.0,21.78
201,0.0,19.111111111111114,0.0,58.0,16.560149759999998,30.0,21.63
202,0.0,19.111111111111114,0.0,58.0,16.560149759999998,30.0,21.07
203,0.0,19.0,0.0,58.0,16.560149759999998,30.0,20.76
204,0.0,19.0,0.0,58.0,16.560149759999998,30.0,20.21
205,0.0,19.0,0.0,58.0,16.560149759999998,30.0,19.65
206,0.0,19.0,0.0,58.0,16.560149759999998,30.0,19.02
207,0.0,19.0,0.0,58.0,16.560149759999998,30.0,18.31
208,0.0,19.0,0.0,59.0,16.560149759999998,30.0,17.44
209,0.0,18.88888888888889,0.0,58.0,16.560149759999998,30.0,16.5
210,0.0,18.88888888888889,0.0,59.0,16.560149759999998,30.0,15.94
211,0.0,18.88888888888889,0.0,59.0,16.560149759999998,30.0,15.0
212,0.0,18.88888888888889,0.0,59.0,16.560149759999998,30.0,14.13
213,0.0,19.0,0.0,59.0,16.560149759999998,30.0,13.26
214,0.0,19.0,0.0,58.0,16.560149759999998,30.0,12.47
215,0.0,19.0,0.0,59.0,16.560149759999998,30.0,11.92
216,0.0,18.88888888888889,0.0,59.0,16.560149759999998,30.0,11.29
217,0.0,18.88888888888889,0.0,59.0,16.560149759999998,30.0,10.81
218,0.0,18.88888888888889,0.0,59.0,16.560149759999998,30.0,10.34
219,0.0,18.77777777777777,0.0,60.0,16.560149759999998,30.0,9.94
220,0.0,18.77777777777777,0.0,60.0,16.560149759999998,30.0,9.39
221,0.0,18.77777777777777,0.0,60.0,16.560149759999998,30.0,9.08
222,0.0,18.77777777777777,0.0,59.0,16.560149759999998,30.0,8.6
223,0.0,18.77777777777777,0.0,59.0,16.560149759999998,30.0,8.13
224,0.0,18.722222222222225,0.0,60.0,16.560149759999998,30.0,7.89
225,0.0,18.722222222222225,0.0,60.0,16.560149759999998,30.0,7.5
226,0.0,18.722222222222225,0.0,60.0,16.560149759999998,30.0,7.26
227,0.0,18.722222222222225,0.0,61.0,16.560149759999998,30.0,6.95
228,0.0,18.722222222222225,0.0,60.0,16.560149759999998,30.0,6.63
229,0.0,18.722222222222225,0.0,60.0,16.560149759999998,30.0,6.31
230,0.0,18.722222222222225,0.0,61.0,16.560149759999998,30.0,6.16
231,0.0,18.722222222222225,0.0,61.0,16.560149759999998,30.0,5.92
232,0.0,18.722222222222225,0.0,60.0,16.560149759999998,30.0,5.76
233,0.0,18.722222222222225,0.0,61.0,16.560149759999998,30.0,5.6
234,0.0,18.722222222222225,0.0,60.0,16.560149759999998,30.0,5.37
235,0.0,18.61111111111111,0.0,61.0,16.560149759999998,30.0,5.13
236,0.0,18.61111111111111,0.0,61.0,16.560149759999998,30.0,4.89
237,0.0,18.61111111111111,0.0,62.0,16.560149759999998,30.0,4.58
238,0.0,18.61111111111111,0.0,61.0,16.560149759999998,30.0,4.26
239,0.0,18.61111111111111,0.0,62.0,16.560149759999998,30.0,3.95
240,0.0,18.61111111111111,0.0,61.0,16.560149759999998,30.0,3.47
241,0.0,18.5,0.0,61.0,16.560149759999998,30.0,3.16
242,0.0,18.5,0.0,62.0,16.560149759999998,30.0,2.92
243,0.0,18.5,0.0,61.0,16.560149759999998,30.0,2.6
244,0.0,18.61111111111111,0.0,62.0,16.560149759999998,30.0,2.37
245,0.0,18.61111111111111,0.0,62.0,16.560149759999998,30.0,2.13
246,0.0,18.61111111111111,0.0,62.0,16.560149759999998,30.0,1.89
247,0.0,18.5,0.0,62.0,16.560149759999998,30.0,1.74
248,0.0,18.5,0.0,62.0,16.560149759999998,30.0,1.58
249,0.0,18.38888888888889,0.0,62.0,16.560149759999998,30.0,1.42
250,0.0,18.38888888888889,0.0,62.0,16.560149759999998,30.0,1.26
251,0.0,18.38888888888889,0.0,63.0,16.560149759999998,30.0,1.1
252,0.0,18.38888888888889,0.0,63.0,16.560149759999998,30.0,1.03
253,0.0,18.38888888888889,0.0,62.0,16.560149759999998,30.0,0.95
254,0.0,18.38888888888889,0.0,62.0,16.560149759999998,30.0,0.79
255,0.0,18.38888888888889,0.0,62.0,16.560149759999998,30.0,0.71
256,0.0,18.38888888888889,0.0,62.0,16.560149759999998,30.0,0.63
257,0.0,18.277777777777786,0.0,62.0,16.560149759999998,30.0,0.55
258,0.0,18.277777777777786,0.0,62.0,16.560149759999998,30.0,0.47
259,0.0,18.277777777777786,0.0,62.0,16.560149759999998,30.0,0.39
260,0.0,18.22222222222222,0.0,61.0,16.560149759999998,30.0,0.32
261,0.0,18.22222222222222,0.0,61.0,16.560149759999998,30.0,0.32
262,0.0,18.22222222222222,0.0,61.0,16.560149759999998,30.0,0.24
263,0.0,18.22222222222222,0.0,61.0,16.560149759999998,30.0,0.24
264,0.0,18.22222222222222,0.0,60.0,16.560149759999998,30.0,0.16
265,0.0,18.22222222222222,0.0,61.0,16.560149759999998,30.0,0.16
266,0.0,18.22222222222222,0.0,60.0,16.560149759999998,30.0,0.16
267,0.0,18.22222222222222,0.0,60.0,16.560149759999998,30.0,0.08
268,0.0,18.22222222222222,0.0,60.0,16.560149759999998,30.0,0.08
269,0.0,18.22222222222222,0.0,60.0,16.560149759999998,30.0,0.08
270,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.08
271,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
272,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
273,0.0,18.111111111111107,0.0,58.0,16.560149759999998,30.0,0.0
274,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
275,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
276,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
277,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
278,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
279,0.0,18.111111111111107,0.0,58.0,16.560149759999998,30.0,0.0
280,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
281,0.0,18.111111111111107,0.0,58.0,16.560149759999998,30.0,0.0
