Stationsindex; Höhe in m;Breite   ;Länge    ;Name                                                                            ;Bundesland                                                                
         4177;       116;    48.97;     8.33;Rheinstetten                                                                    ;Baden-Württemberg                                                         
         4189;       534;    48.15;     9.46;Altheim, Kreis Biberach                                                         ;Baden-Württemberg                                                         
         4261;       442;    47.88;    12.13;Rosenheim                                                                       ;Bayern                                                                    
         4271;         5;    54.18;    12.08;Rostock-Warnemünde                                                              ;Mecklenburg-Vorpommern                                                    
         4275;        32;    53.13;     9.34;Rotenburg (Wümme)                                                               ;Niedersachsen                                                             
         4280;       386;    49.22;    11.10;Roth                                                                            ;Bayern                                                                    
         4287;       415;    49.39;    10.17;Rothenburg ob der Tauber                                                        ;Bayern                                                                    
         4300;       589;    48.18;     8.64;Rottweil                                                                        ;Baden-Württemberg                                                         
         4301;       102;    49.85;     7.87;Kreuznach, Bad                                                                  ;Rheinland-Pfalz                                                           
         4323;       461;    49.65;     7.88;Ruppertsecken                                                                   ;Rheinland-Pfalz                                                           
